web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620529582-19552,https://www.inmuebles24.com/casas-en-venta-en-juriquilla-pagina-51.html,Casa en Venta Juriquilla Valle Queretaro,"MN 3,400,000",2 rec.,"2
					
						baños",160 m²
1620529306-18890,https://www.inmuebles24.com/casas-en-venta-en-el-campanario-ciudad-de-queretaro-pagina-2.html,"El Campanario, Jardín Colindante con Lago","MN 26,000,000",4 rec.,"4
					
						baños",1250 m²
1620529128-18489,https://www.inmuebles24.com/casas-en-venta-en-residencial-el-refugio-pagina-6.html,Casa Amplia en Venta en El Refugio,"MN 3,600,000",3 rec.,"3
					
						baños",246 m²
1620527949-15489,https://www.inmuebles24.com/casas-en-venta-en-fraccionamiento-cumbres-del-lago-pagina-24.html,Venta Casa en Cumbres del Lago de 3 Recamaras y 275 M²!,"MN 4,300,000",3 rec.,"3
					
						baños",271 m²
1620528388-16567,https://www.inmuebles24.com/casas-en-venta-en-los-candiles-pagina-1.html,"Para Casa o Negocio, Misión San Carlos, Av Principal, 3 Recs, 2.5 Baños, Cochera","MN 1,550,000",3 rec.,"2
					
						baños",90 m²
1620528388-16572,https://www.inmuebles24.com/casas-en-venta-en-los-candiles-pagina-1.html,Casa en Venta en Los Candiles,"MN 1,215,590",3 rec.,"2
					
						baños",190 m²
1620527741-15013,https://www.inmuebles24.com/casas-en-venta-en-fraccionamiento-cumbres-del-lago-pagina-44.html,"Casa en Venta en Querétaro Para Parejas Solas, Cumbres del Lago con Jacuzzi.","MN 4,450,000",2 rec.,"2
					
						baños",297 m²
1620528513-16907,https://www.inmuebles24.com/casas-en-venta-en-milenio-pagina-19.html,"Casa en Venta, Milenio III","MN 4,980,000",3 rec.,"3
					
						baños",245 m²
1620528415-16635,https://www.inmuebles24.com/casas-en-venta-en-el-pueblito-centro-pagina-11.html,Casa,"MN 3,100,000",4 rec.,"2
					
						baños",200 m²
1620529175-18601,https://www.inmuebles24.com/casas-en-venta-en-residencial-el-refugio-pagina-1.html,Estrena Espectacular Casa en El Residencial El Refugio,"MN 4,900,000",3 rec.,"3
					
						baños",260 m²
1620528175-16109,https://www.inmuebles24.com/casas-en-venta-en-centro-sur-pagina-3.html,"En Venta Residencia en Centro Sur, Luxury, 3 Recámaras, Estudio, Jardín, Alberca","MN 5,500,000",3 rec.,"4
					
						baños",200 m²
1620528974-18086,https://www.inmuebles24.com/casas-en-venta-en-residencial-el-refugio-pagina-23.html,"Hermosa Casa en El Refugio de Autor, Acabados Premium! 3 R","MN 3,190,000",3 rec.,"2
					
						baños",133 m²
1620529443-19150,https://www.inmuebles24.com/casas-en-venta-en-juriquilla-pagina-67.html,Casa de 4 Hab. (1 en P. B.) + Roof en Cumbres del Lago,"MN 8,650,000",4 rec.,"4
					
						baños",270 m²
1620529226-18727,https://www.inmuebles24.com/casas-en-venta-en-el-campanario-ciudad-de-queretaro-pagina-9.html,"Preciosa Residencia de Autor en El Campanario, Única E Indescriptible, Luxury.","MN 13,800,000",4 rec.,"4
					
						baños",814 m²
1620528454-16723,https://www.inmuebles24.com/casas-en-venta-en-el-pueblito-centro-pagina-7.html,"Hermosas Casas en El Pueblito Centro, Roof Garden, Alberca, 3 Recámaras, Premium","MN 2,080,000",3 rec.,"2
					
						baños",101 m²
1620529057-18292,https://www.inmuebles24.com/casas-en-venta-en-residencial-el-refugio-pagina-14.html,"El Refugio, 3 Recamaras, 3.5 Baños, Jardín, Alberca, de Lujo, 148 m²","MN 2,174,000",3 rec.,"3
					
						baños",2175000 m²
1620528445-16705,https://www.inmuebles24.com/casas-en-venta-en-el-pueblito-centro-pagina-8.html,"El Pueblito Centro, Privada con Alberca, Una Planta, 2 Recámaras, T.140 m², Lujo","MN 2,128,000",3 rec.,"2
					
						baños",140 m²
1620528194-16147,https://www.inmuebles24.com/casas-en-venta-en-centro-sur-pagina-1.html,"Casa Residencial Estilo Californiano en Centro Sur, Querétar","MN 10,500,000",3 rec.,"3
					
						baños",700 m²
1620529834-20224,https://www.inmuebles24.com/casas-en-venta-en-juriquilla-pagina-23.html,Casa en Venta en Juriquilla Querétaro,"MN 2,635,000",3 rec.,"3
					
						baños",160 m²
1620529289-18850,https://www.inmuebles24.com/casas-en-venta-en-el-campanario-ciudad-de-queretaro-pagina-4.html,Casa - Fraccionamiento El Campanario,"USD 990,000",3 rec.,"3
					
						baños",1277 m²
1620529826-20192,https://www.inmuebles24.com/casas-en-venta-en-juriquilla-pagina-24.html,Casa en Venta Vidal Juriquilla San Isidro Queretaro,"MN 2,040,500",3 rec.,"3
					
						baños",112 m²
1620527751-15038,https://www.inmuebles24.com/casas-en-venta-en-fraccionamiento-cumbres-del-lago-pagina-43.html,Juriquilla Cumbres del Lago Casa en Venta,"MN 6,300,000",3 rec.,"3
					
						baños",280 m²
1620529163-18570,https://www.inmuebles24.com/casas-en-venta-en-residencial-el-refugio-pagina-2.html,"El Refugio, con Acabados de Lujo","MN 3,190,000",3 rec.,"2
					
						baños",133 m²
1620529102-18399,https://www.inmuebles24.com/casas-en-venta-en-residencial-el-refugio-pagina-9.html,"Preciosa Residencia en El Refugio, 4 Recámaras, Una en Pb, 3","MN 2,990,000",4 rec.,"3
					
						baños",164 m²
1620530011-20721,https://www.inmuebles24.com/casas-en-venta-en-juriquilla-pagina-2.html,Casa en Venta en Querétaro,"MN 12,000,000",4 rec.,"4
					
						baños",400 m²
1620529843-20243,https://www.inmuebles24.com/casas-en-venta-en-juriquilla-pagina-22.html,"Juriquilla, Comodidad a Tu Alcance","MN 8,700,000",4 rec.,"4
					
						baños",667 m²
1620527939-15458,https://www.inmuebles24.com/casas-en-venta-en-fraccionamiento-cumbres-del-lago-pagina-25.html,"Estupenda Casa en Altos Juriquilla, Super Completa y de Opor","MN 3,700,000",3 rec.,"3
					
						baños",180 m²
1620529591-19562,https://www.inmuebles24.com/casas-en-venta-en-juriquilla-pagina-50.html,"Preciosa Residencia en Grand Juriquilla, 3 Recamaras, 3.5 Baños, Jardín, Sala Tv","MN 2,850,000",3 rec.,"3
					
						baños",189 m²
1620529893-20380,https://www.inmuebles24.com/casas-en-venta-en-juriquilla-pagina-16.html,Casa de 3 Hab. en Cumbres del Lago,"MN 6,300,000",3 rec.,"2
					
						baños",280 m²
1620528134-15988,https://www.inmuebles24.com/casas-en-venta-en-fraccionamiento-cumbres-del-lago-pagina-3.html,"Preciosa Casa en Altos Juriquilla, Roof Garden, 3 Recamaras","MN 3,320,000",3 rec.,"2
					
						baños",152 m²
1620529566-19497,https://www.inmuebles24.com/casas-en-venta-en-juriquilla-pagina-53.html,Casa en Venta en Cumbres de Juriquilla,"MN 3,500,000",3 rec.,"2
					
						baños",220 m²
1620529694-19826,https://www.inmuebles24.com/casas-en-venta-en-juriquilla-pagina-39.html,"Vendo Casa Nueva en Juriquilla, de 4 Recámaras y Una Recámara en Planta Baja, Querétaro.","MN 2,888,125",4 rec.,"3
					
						baños",146 m²
