web-scraper-order,web-scraper-start-url,name,rating,name-link,name-link-href,price-food,name-food
"1616634845-4995","https://www.rappi.com.mx/restaurantes/category/pizza","La Vieja Varsovia","null","La Vieja Varsovia  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704330","44","Té Chai"
"1616635681-5392","https://www.rappi.com.mx/restaurantes/category/pizza","Crécola","4.8","Crécola  4.8  Pizza  42 min ● $26 ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701238","142","Lassagna Carne"
"1616635681-5403","https://www.rappi.com.mx/restaurantes/category/pizza","Crécola","4.8","Crécola  4.8  Pizza  42 min ● $26 ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701238","85","Crepas de Cajeta"
"1616634808-4952","https://www.rappi.com.mx/restaurantes/category/pizza","lynchburg","null","lynchburg  Pizza  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923274883","159","Hot Buffalo Burger"
"1616635385-5185","https://www.rappi.com.mx/restaurantes/category/pizza","Che Chelas","null","Che Chelas  Pizza  36 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/990007313","40","Tostada de Cueritos"
"1616635263-5148","https://www.rappi.com.mx/restaurantes/category/pizza","Trattoria La Nonna","null","Trattoria La Nonna  Pizza ,  Italiana  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701882","148","Pasta Alfredo"
"1616634764-4938","https://www.rappi.com.mx/restaurantes/category/pizza","Little Rome Pizza","null","Little Rome Pizza   Pizza  35 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923233463","50","Coca-Cola Original 2 L"
"1616635681-5376","https://www.rappi.com.mx/restaurantes/category/pizza","Crécola","4.8","Crécola  4.8  Pizza  42 min ● $26 ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701238","245","Pizza Diformaggi"
"1616634808-4969","https://www.rappi.com.mx/restaurantes/category/pizza","lynchburg","null","lynchburg  Pizza  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923274883","189","Pizza Meat Lover"
"1616635263-5159","https://www.rappi.com.mx/restaurantes/category/pizza","Trattoria La Nonna","null","Trattoria La Nonna  Pizza ,  Italiana  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701882","165","Arrachera Arrabbiata"
"1616635194-5106","https://www.rappi.com.mx/restaurantes/category/pizza","null","null","Zapata Pizza  4.6  Pizza  30 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923240338","",""
"1616634808-4959","https://www.rappi.com.mx/restaurantes/category/pizza","lynchburg","null","lynchburg  Pizza  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923274883","159","Hamburguesa Jack"
"1616635681-5406","https://www.rappi.com.mx/restaurantes/category/pizza","Crécola","4.8","Crécola  4.8  Pizza  42 min ● $26 ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701238","34","Coca-Cola Original 355 ml"
"1616635537-5353","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino's Pizza","4.8","Tonino's Pizza  4.8  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923222036","30","Papa al Horno Extra"
"1616634764-4932","https://www.rappi.com.mx/restaurantes/category/pizza","Little Rome Pizza","null","Little Rome Pizza   Pizza  35 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923233463","70","Pizza Bombs"
"1616635537-5284","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino's Pizza","4.8","Tonino's Pizza  4.8  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923222036","172","Pizza Vegetariana Mediana"
"1616635263-5112","https://www.rappi.com.mx/restaurantes/category/pizza","Trattoria La Nonna","null","Trattoria La Nonna  Pizza ,  Italiana  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701882","165","Insalata Di Mare"
"1616635537-5333","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino's Pizza","4.8","Tonino's Pizza  4.8  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923222036","20","Sprite 355 ml"
"1616634808-4962","https://www.rappi.com.mx/restaurantes/category/pizza","lynchburg","null","lynchburg  Pizza  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923274883","179","Pizza de Pepperoni"
"1616635740-5418","https://www.rappi.com.mx/restaurantes/category/pizza","null","null","Pizzería Ragazzo  Pizza  34 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923293473","",""
"1616635681-5409","https://www.rappi.com.mx/restaurantes/category/pizza","Crécola","4.8","Crécola  4.8  Pizza  42 min ● $26 ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701238","34","Coca-Cola Sin Azúcar 355 ml"
"1616635385-5238","https://www.rappi.com.mx/restaurantes/category/pizza","Che Chelas","null","Che Chelas  Pizza  36 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/990007313","600","Whisky"
"1616635537-5329","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino's Pizza","4.8","Tonino's Pizza  4.8  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923222036","23","Botella de Agua 600 ml"
"1616635681-5387","https://www.rappi.com.mx/restaurantes/category/pizza","Crécola","4.8","Crécola  4.8  Pizza  42 min ● $26 ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701238","240","Arrachera"
"1616635385-5211","https://www.rappi.com.mx/restaurantes/category/pizza","Che Chelas","null","Che Chelas  Pizza  36 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/990007313","135","Alitas"
"1616634845-4985","https://www.rappi.com.mx/restaurantes/category/pizza","La Vieja Varsovia","null","La Vieja Varsovia  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704330","35","Americano Cortado"
"1616634873-5036","https://www.rappi.com.mx/restaurantes/category/pizza","Cheese Up","3.9","Cheese Up  3.9  Pizza  28 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/990004915","155","Pizza Ranchera"
"1616635263-5156","https://www.rappi.com.mx/restaurantes/category/pizza","Trattoria La Nonna","null","Trattoria La Nonna  Pizza ,  Italiana  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701882","165","Petto Di Pollo Al Pesto"
"1616635537-5316","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino's Pizza","4.8","Tonino's Pizza  4.8  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923222036","230","Pizza Calzoni"
"1616634873-5041","https://www.rappi.com.mx/restaurantes/category/pizza","Cheese Up","3.9","Cheese Up  3.9  Pizza  28 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/990004915","50","Patatas"
"1616635537-5314","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino's Pizza","4.8","Tonino's Pizza  4.8  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923222036","230","Pizza Especial"
"1616635681-5380","https://www.rappi.com.mx/restaurantes/category/pizza","Crécola","4.8","Crécola  4.8  Pizza  42 min ● $26 ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306701238","230","Pizza de Carnes Frías"
"1616634764-4920","https://www.rappi.com.mx/restaurantes/category/pizza","Little Rome Pizza","null","Little Rome Pizza   Pizza  35 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923233463","195","Pizza Grande Tres Carnes"
"1616635445-5264","https://www.rappi.com.mx/restaurantes/category/pizza","null","null","Brutus Pizza  4.8  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923204648","",""
