web-scraper-order,web-scraper-start-url,name,rating,name-link,name-link-href,price-food,name-food
"1616630396-263","https://www.rappi.com.mx/restaurantes/category/pizza","Benedetti's","4.5","Benedetti's  4.5  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306705505","258","Súper Pizza Chuleta Delice Especial"
"1616630380-176","https://www.rappi.com.mx/restaurantes/category/pizza","Rock N Pizza Corregidora","null","Rock N Pizza Corregidora  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923258191","50","Papas a la Francesa"
"1616630364-52","https://www.rappi.com.mx/restaurantes/category/pizza","Martinica","null","Martinica  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923251867","165","Ensalada Griega"
"1616630353-6","https://www.rappi.com.mx/restaurantes/category/pizza","La Neta Alas y Chelas","null","La Neta Alas y Chelas  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923251333","105","Aros de cebolla"
"1616630386-212","https://www.rappi.com.mx/restaurantes/category/pizza","Piacere Italiano","null","Piacere Italiano  Pizza ,  Italiana  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923275006","165","Pasta Quattro Formaggi"
"1616630375-137","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Piace Pizza Qro","null","Mi Piace Pizza Qro  Pizza ,  Italiana  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923261931","25","Fresa con Mango (500 Ml)"
"1616630396-270","https://www.rappi.com.mx/restaurantes/category/pizza","Benedetti's","4.5","Benedetti's  4.5  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306705505","27","Manzanita Sol 600 ml"
"1616630375-101","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Piace Pizza Qro","null","Mi Piace Pizza Qro  Pizza ,  Italiana  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923261931","90","Pizza Mi Creación"
"1616630353-34","https://www.rappi.com.mx/restaurantes/category/pizza","La Neta Alas y Chelas","null","La Neta Alas y Chelas  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923251333","40","Ciel Natural 600 ml"
"1616630396-262","https://www.rappi.com.mx/restaurantes/category/pizza","Benedetti's","4.5","Benedetti's  4.5  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306705505","258","Súper Pizza Mexicana Especial"
"1616630353-12","https://www.rappi.com.mx/restaurantes/category/pizza","La Neta Alas y Chelas","null","La Neta Alas y Chelas  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923251333","185","Ensalada Campesina"
"1616630375-126","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Piace Pizza Qro","null","Mi Piace Pizza Qro  Pizza ,  Italiana  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923261931","25","Piña con Hierbabuena (500 Ml)"
"1616630380-174","https://www.rappi.com.mx/restaurantes/category/pizza","Rock N Pizza Corregidora","null","Rock N Pizza Corregidora  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923258191","110","Milanesa Napolitana"
"1616630353-27","https://www.rappi.com.mx/restaurantes/category/pizza","La Neta Alas y Chelas","null","La Neta Alas y Chelas  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923251333","155","Jocho Especial Jumbo"
"1616630386-225","https://www.rappi.com.mx/restaurantes/category/pizza","Piacere Italiano","null","Piacere Italiano  Pizza ,  Italiana  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923275006","80","Funghi Trifolati"
"1616630353-17","https://www.rappi.com.mx/restaurantes/category/pizza","La Neta Alas y Chelas","null","La Neta Alas y Chelas  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923251333","185","Hamburguesa Doble de Res"
"1616630375-115","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Piace Pizza Qro","null","Mi Piace Pizza Qro  Pizza ,  Italiana  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923261931","45","Limón con Chia (1 Litro)"
"1616630364-63","https://www.rappi.com.mx/restaurantes/category/pizza","Martinica","null","Martinica  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923251867","212","Pizza Dulce"
"1616630375-134","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Piace Pizza Qro","null","Mi Piace Pizza Qro  Pizza ,  Italiana  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923261931","35","Fresa con Kiwi (500 Ml)"
"1616630396-274","https://www.rappi.com.mx/restaurantes/category/pizza","Benedetti's","4.5","Benedetti's  4.5  Pizza  33 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306705505","64","Manzanita Sol 2 L"
"1616630391-244","https://www.rappi.com.mx/restaurantes/category/pizza","Zapata Pizza","4.8","Zapata Pizza  4.8  Pizza  40 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923240339","53","Coca-Cola Original 2 L"
"1616630386-211","https://www.rappi.com.mx/restaurantes/category/pizza","Piacere Italiano","null","Piacere Italiano  Pizza ,  Italiana  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923275006","175","Pasta al Pesto"
"1616630375-133","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Piace Pizza Qro","null","Mi Piace Pizza Qro  Pizza ,  Italiana  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923261931","45","Fresa (1 Litro)"
"1616630386-223","https://www.rappi.com.mx/restaurantes/category/pizza","Piacere Italiano","null","Piacere Italiano  Pizza ,  Italiana  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923275006","80","Verdure al Burro"
"1616630359-49","https://www.rappi.com.mx/restaurantes/category/pizza","Nápoles Artesanal Pizzería","null","Nápoles Artesanal Pizzería  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923249129","254","Pizza Mediterranea"
"1616630364-56","https://www.rappi.com.mx/restaurantes/category/pizza","Martinica","null","Martinica  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923251867","218","Tagliatelle a la Boscaiola"
"1616630386-185","https://www.rappi.com.mx/restaurantes/category/pizza","Piacere Italiano","null","Piacere Italiano  Pizza ,  Italiana  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923275006","140","Insalata Caprese"
"1616630380-172","https://www.rappi.com.mx/restaurantes/category/pizza","Rock N Pizza Corregidora","null","Rock N Pizza Corregidora  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923258191","110","Hamburguesa Sencilla"
"1616630380-156","https://www.rappi.com.mx/restaurantes/category/pizza","Rock N Pizza Corregidora","null","Rock N Pizza Corregidora  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923258191","75","Cuatro Quesos"
"1616630380-171","https://www.rappi.com.mx/restaurantes/category/pizza","Rock N Pizza Corregidora","null","Rock N Pizza Corregidora  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923258191","100","Calzone de Pepperoni"
"1616630375-87","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Piace Pizza Qro","null","Mi Piace Pizza Qro  Pizza ,  Italiana  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923261931","85","Penne al Coriandolo"
"1616630375-89","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Piace Pizza Qro","null","Mi Piace Pizza Qro  Pizza ,  Italiana  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923261931","85","Fetuccinni al Burro"
"1616630375-111","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Piace Pizza Qro","null","Mi Piace Pizza Qro  Pizza ,  Italiana  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923261931","20","Boing Mango 500 ml"
"1616630375-145","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Piace Pizza Qro","null","Mi Piace Pizza Qro  Pizza ,  Italiana  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923261931","150","Panini Jmaón Serrano"
"1616630380-179","https://www.rappi.com.mx/restaurantes/category/pizza","Rock N Pizza Corregidora","null","Rock N Pizza Corregidora  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923258191","25","Mirinda Naranja 355 ml"
"1616630386-186","https://www.rappi.com.mx/restaurantes/category/pizza","Piacere Italiano","null","Piacere Italiano  Pizza ,  Italiana  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923275006","160","Insalata di Pere"
"1616630386-202","https://www.rappi.com.mx/restaurantes/category/pizza","Piacere Italiano","null","Piacere Italiano  Pizza ,  Italiana  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923275006","150","Pizza Funghi"
"1616630369-79","https://www.rappi.com.mx/restaurantes/category/pizza","Patricio´s","null","Patricio´s  Pizza  31 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923297582","30","Jugo de 1L"
"1616630375-90","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Piace Pizza Qro","null","Mi Piace Pizza Qro  Pizza ,  Italiana  30 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923261931","100","Spaghetti Alla Carbonara"
"1616630364-66","https://www.rappi.com.mx/restaurantes/category/pizza","Martinica","null","Martinica  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923251867","45","Fuze Tea Negro Limón 600 ml"
"1616630380-170","https://www.rappi.com.mx/restaurantes/category/pizza","Rock N Pizza Corregidora","null","Rock N Pizza Corregidora  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923258191","120","Calzone de Jamón Serrano"
"1616630386-222","https://www.rappi.com.mx/restaurantes/category/pizza","Piacere Italiano","null","Piacere Italiano  Pizza ,  Italiana  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923275006","80","Puré di Patate"
"1616630380-161","https://www.rappi.com.mx/restaurantes/category/pizza","Rock N Pizza Corregidora","null","Rock N Pizza Corregidora  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923258191","96","Mexicana"
"1616630359-41","https://www.rappi.com.mx/restaurantes/category/pizza","Nápoles Artesanal Pizzería","null","Nápoles Artesanal Pizzería  Pizza  28 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923249129","192","Pizza Carnes"
"1616630353-13","https://www.rappi.com.mx/restaurantes/category/pizza","La Neta Alas y Chelas","null","La Neta Alas y Chelas  Pizza  32 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923251333","165","Ensalada César"
"1616630386-233","https://www.rappi.com.mx/restaurantes/category/pizza","Piacere Italiano","null","Piacere Italiano  Pizza ,  Italiana  36 min ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923275006","490","Pasta Piacere Italiano"
