web-scraper-order,web-scraper-start-url,name,rating,name-link,name-link-href,price-food,name-food
"1616633421-7747","https://www.rappi.com.mx/restaurantes/category/pizza","El Hornero Pizzas y Empanadas","null","El Hornero Pizzas y Empanadas  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923287574","140","Pizza Chorizos"
"1616633401-7697","https://www.rappi.com.mx/restaurantes/category/pizza","Yuyumei Pizzería Napolitana","null","Yuyumei Pizzería Napolitana  Pizza  34 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923243235","145","Pizza Nutella"
"1616633442-7792","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Amore","null","Pizza Amore  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923208994","64","Ensalada Clásica"
"1616633493-7934","https://www.rappi.com.mx/restaurantes/category/pizza","Cosi Fan Tutte","null","Cosi Fan Tutte  Pizza ,  Italiana  42 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1306704432","220","Panino Mixto"
"1616633544-8052","https://www.rappi.com.mx/restaurantes/category/pizza","Piu Pizza","4.7","Piu Pizza  4.7  Pizza  24 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923217925","70","Panini Vegetarianos"
"1616633462-7841","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Pub","null","Pizza Pub  Pizza ,  Wings  38 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923240079","179","Hamburguesa Angus con Tocino"
"1616633585-8205","https://www.rappi.com.mx/restaurantes/category/pizza","Emilio´S","4.7","Emilio´S  4.7  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923211264","198","Ravioles rellenos de espinaca y queso 200 Gr. aprox"
"1616633442-7801","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Amore","null","Pizza Amore  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923208994","75","Pizzeta Del Barrio"
"1616633585-8208","https://www.rappi.com.mx/restaurantes/category/pizza","Emilio´S","4.7","Emilio´S  4.7  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923211264","198","Pasta  le Vongole"
"1616633432-7784","https://www.rappi.com.mx/restaurantes/category/pizza","Za-bör Pizza & Sliders","null","Za-bör Pizza & Sliders  Pizza  31 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923255337","30","Coca-Cola Original 355 ml"
"1616633421-7762","https://www.rappi.com.mx/restaurantes/category/pizza","El Hornero Pizzas y Empanadas","null","El Hornero Pizzas y Empanadas  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923287574","72","Pastel de Chocolate"
"1616633421-7752","https://www.rappi.com.mx/restaurantes/category/pizza","El Hornero Pizzas y Empanadas","null","El Hornero Pizzas y Empanadas  Pizza  29 min  Cargo adicional por servicio ¡90% OFF EN TODO! MÍN. $100 RappiCard","https://www.rappi.com.mx/restaurantes/1923287574","185","Pizza Especial Quesos"
