web-scraper-order,web-scraper-start-url,name-link,name-link-href,name,rating,evals,price-food,name-food
1616634381-4531,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBhcnF1ZSUyMEFsYW1vcyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjNhYTQyNWJlLTBlYjEtNmU3Yi04ZjE2LTQ0NWEzYjEzZmI4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjA4NDMxOCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzgzNzgyOSU3RA%3D%3D&q=Pizza,Tonino's (Plaza del Parque),https://www.ubereats.com/queretaro/food-delivery/toninos-plaza-del-parque/TKXFd9EESmm75uOjIiWUcQ,Tonino's (Plaza del Parque),null,-133,MX$149.00,Milanesa florentina
1616632750-1046,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBhcnF1ZSUyMEFsYW1vcyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjNhYTQyNWJlLTBlYjEtNmU3Yi04ZjE2LTQ0NWEzYjEzZmI4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjA4NDMxOCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzgzNzgyOSU3RA%3D%3D&q=Pizza,Pepe Pastes Universidad,https://www.ubereats.com/queretaro/food-delivery/pepe-pastes-universidad/XPs05X-_R6et_-uWL_563w,Pepe Pastes Universidad,null,-29,MX$28.00,Empanadas de Mermelada de Piña
1616632851-1197,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBhcnF1ZSUyMEFsYW1vcyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjNhYTQyNWJlLTBlYjEtNmU3Yi04ZjE2LTQ0NWEzYjEzZmI4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjA4NDMxOCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzgzNzgyOSU3RA%3D%3D&q=Pizza,Diktatur (Universidad),https://www.ubereats.com/queretaro/food-delivery/diktatur-universidad/RjCoPqywRi66eazWhjAKrg,Diktatur (Universidad),null,Hamburguesas,MX$60.00,Sopa de frijol
1616632982-1466,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBhcnF1ZSUyMEFsYW1vcyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjNhYTQyNWJlLTBlYjEtNmU3Yi04ZjE2LTQ0NWEzYjEzZmI4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjA4NDMxOCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzgzNzgyOSU3RA%3D%3D&q=Pizza,El Globo Queretaro Jardines,https://www.ubereats.com/queretaro/food-delivery/el-globo-queretaro-jardines/MRKEqcr_TAy5Yfpgmz4v5w,El Globo Queretaro Jardines,null,-484,MX$60.00,Cappucino 16 oz
1616633179-2036,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBhcnF1ZSUyMEFsYW1vcyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjNhYTQyNWJlLTBlYjEtNmU3Yi04ZjE2LTQ0NWEzYjEzZmI4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjA4NDMxOCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzgzNzgyOSU3RA%3D%3D&q=Pizza,Diktatur (Guerrero),https://www.ubereats.com/queretaro/food-delivery/diktatur-guerrero/ivTf6xgFREGG2-6B2HmRSg,Diktatur (Guerrero),null,-10,MX$60.00,Hot cakes
1616633996-3828,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBhcnF1ZSUyMEFsYW1vcyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjNhYTQyNWJlLTBlYjEtNmU3Yi04ZjE2LTQ0NWEzYjEzZmI4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjA4NDMxOCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzgzNzgyOSU3RA%3D%3D&q=Pizza,La Bocha,https://www.ubereats.com/queretaro/food-delivery/la-bocha/l7WmFXAFRGOlVzCIH8CWPg,La Bocha,null,-72,MX$68.00,Empanada Salteña
1616632791-1069,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBhcnF1ZSUyMEFsYW1vcyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjNhYTQyNWJlLTBlYjEtNmU3Yi04ZjE2LTQ0NWEzYjEzZmI4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjA4NDMxOCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzgzNzgyOSU3RA%3D%3D&q=Pizza,Burrito Anónimo (Villas Tecnológico),https://www.ubereats.com/queretaro/food-delivery/burrito-anonimo-villas-tecnologico/dAHyR-FxRrO8uNDptc10Ww,Burrito Anónimo (Villas Tecnológico),null,-55,MX$95.00,"Costra de Queso ""Taco-Keto"""
1616633620-3169,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBhcnF1ZSUyMEFsYW1vcyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjNhYTQyNWJlLTBlYjEtNmU3Yi04ZjE2LTQ0NWEzYjEzZmI4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjA4NDMxOCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzgzNzgyOSU3RA%3D%3D&q=Pizza,Che-Chelas,https://www.ubereats.com/queretaro/food-delivery/che-chelas/Ha5PubCKQF2NkheuISDSmQ,Che-Chelas,null,-47,MX$35.00,Cerveza Tecate Light
1616633507-2950,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBhcnF1ZSUyMEFsYW1vcyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjNhYTQyNWJlLTBlYjEtNmU3Yi04ZjE2LTQ0NWEzYjEzZmI4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjA4NDMxOCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzgzNzgyOSU3RA%3D%3D&q=Pizza,Micaela Cocina & Café,https://www.ubereats.com/queretaro/food-delivery/micaela-cocina-%26-cafe/qSSPCRq_RGak9BcIUJBAew,Micaela Cocina & Café,null,-79,MX$220.00,Pizza De 4 Quesos y Jamón Serrano
1616633507-3014,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBhcnF1ZSUyMEFsYW1vcyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjNhYTQyNWJlLTBlYjEtNmU3Yi04ZjE2LTQ0NWEzYjEzZmI4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjA4NDMxOCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzgzNzgyOSU3RA%3D%3D&q=Pizza,Micaela Cocina & Café,https://www.ubereats.com/queretaro/food-delivery/micaela-cocina-%26-cafe/qSSPCRq_RGak9BcIUJBAew,Micaela Cocina & Café,null,-79,MX$125.00,Banana Nutella
1616632902-1327,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBhcnF1ZSUyMEFsYW1vcyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjNhYTQyNWJlLTBlYjEtNmU3Yi04ZjE2LTQ0NWEzYjEzZmI4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjA4NDMxOCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzgzNzgyOSU3RA%3D%3D&q=Pizza,Manceba,https://www.ubereats.com/queretaro/food-delivery/manceba/_NFVvHTlT5qu689d_MxqJw,Manceba,null,Bebidas,MX$80.00,Queso fundido con chorizo
1616632435-256,https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMlBhcnF1ZSUyMEFsYW1vcyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjNhYTQyNWJlLTBlYjEtNmU3Yi04ZjE2LTQ0NWEzYjEzZmI4NSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjA4NDMxOCUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuMzgzNzgyOSU3RA%3D%3D&q=Pizza,Jaguaryou,https://www.ubereats.com/queretaro/food-delivery/jaguaryou/ak-2YRJOQq-ZB763O0u1eQ,Jaguaryou,null,null,MX$85.00,Torta de arrachera
