web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620505613-10568,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,Renta Depto Centro Sur  2 Rec en Queretaro Amueblado Central Park T300,"$22,000",2,"3
                                    
                                
                                Baños",156 m²
1620505969-11434,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=8,Renta departamento amueblado Santa Fe Juriquilla Querétaro Habtarea Towers 2 Rec,"$16,000",2,"2
                                    
                                
                                Baños",100 m²
1620505836-11090,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=2,Se  Renta  PH en Milenio amueblado o sin amueblar,"$14,800",2,"2
                                    
                                
                                Baños",110 m²
1620505613-10551,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,Departamento en renta Centro Sur 2 habitaciones AVH,"$14,000",2,"2
                                    
                                
                                Baños",87 m²
1620505979-11454,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,RENTA DE DEPARTAMENTO AMUEBLADO JURIQUILLA QUERETARO,"$25,000",3,"2
                                    
                                
                                Baños",150 m²
1620505796-10985,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=1,RENTA DEPARTAMENTO AMUEBLADO TERRAZA EN EL MIRADOR,"$9,500",1,"1
                                    
                                
                                Baño",70 m²
1620505960-11407,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Departamento en renta muy iluminado GGV#21-1947,"$14,500",2,"2
                                    
                                
                                Baños",109 m²
1620505853-11110,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,DEPARTAMENTO EN RENTA EN QUERETARO Milenio 3a. Sección,"$18,000",2,"2
                                    
                                
                                Baños",147 m²
1620505613-10559,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=3,Elegante Departamento en RENTA en Alia Centro Sur,"$18,500",3,"3
                                    
                                
                                Baños",129 m²
1620505660-10657,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=1,DEPARTAMENTO  EN  ALIA SKY LIVING CENTRO SUR,"$16,500",2,"2
                                    
                                
                                Baños",100 m²
1620505928-11300,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,Departamento en Renta a estrenar,"$15,000",3,"2
                                    
                                
                                Baños",125 m²
1620506030-11622,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=1,"Renta Departamento junto al Náutico de Juriquilla, Querétaro, Querétaro.","$15,500",1,"1
                                    
                                
                                Baño",100 m²
1620505761-10891,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,RENTA DE DEPARTAMENTO EN EL CAMPANARIO 3 RECÁMARAS 2 BAÑOS BALCÓN,"$19,500",3,"2
                                    
                                
                                Baños",96 m²
1620505853-11105,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/departamento/for-rent/?page=1,"Renta de Amplio departamento con 2 recamara, ubicado en Fraccionamiento Milenio","$14,000",2,"2
                                    
                                
                                Baños",175 m²
1620505942-11346,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=10,"RENTA DE DEPARTAMENTO EN WISE LIVING, JURIQUILLA","$24,500",1,"1
                                    
                                
                                Baño",90 m²
1620505960-11382,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=9,Departamentos en Renta en Real De Juriquilla,"$18,500",2,"2
                                    
                                
                                Baños",120 m²
1620505891-11209,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/departamento/for-rent/?page=2,RENTA DEPARTAMENTO AMUEBLADO EL REFUGIO,"$14,000",3,"2
                                    
                                
                                Baños",110 m²
